Judul,Penerbit,Tahun Terbit,Tempat Terbit,Pengarang,Tipe Koleksi
jam ajar komputer d studio max,elex media komputindo,2007,jakarta,sugianto mikael,komputer
teknik pilih manipulasi foto,media kita,2008,jakarta,effendhy asep,komputer
trik sembunyi ngeblog,maxikom,2010,palembang,kurniawan rulianto,komputer
efek profesional photoshop,maxikom,2008,palembang,fandi,komputer
m pilih pakai merawwat dan baik netbook,andi,2012,yogyakarta,yesaya jati paulus,komputer
efek profesional photoshop cs,maxikom,2011,palembang,fandi,komputer
trik pemrograman delphi,elex media komputindo,2007,jakarta,pujianto,komputer
trik rahasia cantik gambar perspektif d,elex media komputindo,2007,jakarta,anditya,komputer
trik sembunyi internet gaul,maxikom,2008,palembang,kurniawan rulianto,komputer
trik sembunyi php,maxicom,2007,palembang,kurniawan rulianto,komputer
cara pintar buat cd interactive olah file audio vidio,indah,2011,surabaya,hidayatullah a taufik,komputer
aplikasi plc mikro,elex media komputindo,2012,jakarta,artanto dian,komputer
menit ajar scrip shel,andi,2010,yogyakarta,syamsudin m,komputer
teknik optimasi jaring komput,elex media komputindo,2010,jakarta,zaki alicommunity,komputer
trik sembunyi flash,maxikom,2007,palembang,jayan,komputer
hari jadi jawara di internet,gava media,2012,yogyakarta,widigdha aryya dwisatya,komputer
jam ajar interaktif ds max untuk orang awam,maxikom,2010,palembang,hamzah or amir,komputer
jam ajar interaktif ds max untuk orang awam,maxikom,2011,"hoboken "" "" nj",chandra handi,komputer
jam ajar interaktif dreamweaver cs untuk orang awam,maxicom,2009,palembang,hadi mulya,komputer
jam ajar photoshop cs untuk profesion,maxikom,2011,palembang,fandi,komputer
jam interaktif dreamweafer cs untuk orang awam,maxicom,2008,palembang,hadi mulya,komputer
trik sembunyi autocad,maxicom,2007,palembang,chandra handi,komputer
trik sembunyi photoshop,maxikom,2011,palembang,fandi,komputer
trik rahasia google com,elex media komputindo,2007,jakarta,tim jubile enterprise,komputer
animasi iklan dengan flash cs,maxikom,2011,palembang,sudirman,komputer
trik sembunyi excel,maxicom,2009,palembang,ninggar dwi,komputer
action script flash mx untuk orang awam,maxicom,2004,palembang,chandra,komputer
actionscript flash cs untuk orang awam,maxikom,2012,palembang,chandra,komputer
administrasi jaring komput,kencana,2016,jakarta,ahmaddul hadi,komputer
administrasi jaring komputer lintas platform,elex media komputindo,2005,jakarta,sanjaya ridwankusuma paulus rickylukito bastian rae,komputer
adobe flash cs untuk buat iklan layan masyarakat,penerbit andi & wahana komputer,2014,semarang,wahana komputer,komputer
adobe illustrator cs,andi,2010,yogyakarta,hernita p,komputer
adobe ilustrator cs,andi,2010,yogyakarta,prabawari th ari,komputer
adobe premiere pro untuk orang awam,maxicom,2006,palembang,chandra,komputer
after effect cs untuk orang awam,maxikom,2009,palembang,fandi,komputer
after effects for special effects movi,maxikom,2010,palembang,fandi,komputer
algoritma pemrograman dalam bahasa pascal dan c,informatika,2011,bandung,munir rinaldi,komputer
algoritma dan pemrograman dengan bahasa c,andi,2010,yogyakarta,rachmat c antonius,komputer
algoritma dan struktur data dalam bahasa java,andi,2008,yogyakarta,nugroho adi,komputer
aneka proyek mikrokontrol,graha ilmu,2011,yogyakarta,budiharto widodo,komputer
aneka proyek mikrokontroler pandu utama untuk riset tugas akhir,graha ilmu,2011,yogyakarta,budiharto widodo,komputer
animasi d dengan autodesk ds max,skripta,2011,semarang,putri florenciapuspitosari heni a,komputer
animasi gerak dengan after effects,maxikom,2003,palembang,chandra handi,komputer
animasi karakter d max,maxicom,2004,palembang,chandra handi,komputer
animasi kartun indonesia banget dengan flash cs,maxikom,2011,palembang,sudirman,komputer
animasi kartun lucu interaktif flash,maxikom,2006,palembang,jayan,komputer
animasi kreatif fundamental dengan d max,elex media komputindo,2007,jakarta,soma hari aria,komputer
animasi logo dimensi dengan autodesk ds max,andi,2008,yogyakarta,suyantoro fi sigit,komputer
animasi logo ds max,maxikom,2005,palembang,chandra handi,komputer
animasi manusia d poser,maxikom,2004,palembang,chandra handi,komputer
animasi teks dengan flash,elex media komputindo,2006,jakarta,enterprise jubileestevano bayu,komputer
animasi web profesional dg flash photoshop,maxicom,2006,palembang,jayan,komputer
aplikasi excel dalam analis data,elex media komputindo,2006,jakarta,wicaksono yudhy,komputer
aplikasi dan teknik pemrograman mikrokontroler avr atmel,andi,2012,yogyakarta,nurcahyo sidik,komputer
aplikasi database di java dengan jbuild,elex media komputindo,2003,jakarta,utdirartatmo firrar,komputer
aplikasi database oracle g dengan vb vb net,elex media komputindo,2005,jakarta,budiarto widodorahardi seftian,komputer
aplikasi excel dalam analis data,elex media komputindo,2006,jakarta,wicaksono yudhy,komputer
aplikasi facebook paling top,andi,2010,yogyakarta,hernita p,komputer
aplikasi gratis audio video editor onlin,andi,2012,yogyakarta,elcom,komputer
aplikasi internet googl,elex media komputindo,2007,jakarta,solution winpec,komputer
aplikasi manajemen database didik bas web dengan php dan mysql,andi,2007,yogyakarta,triyuliana agnes heni,komputer
aplikasi manajemen rekrut bas access xp,elex media komputindo,2005,jakarta,pramana hengky w,komputer
aplikasi mikroprosesor dalam sistem integrasi,graha ilmu,2008,yogyakarta,muis saludin,komputer
aplikasi mini market access untuk orang awam,maxikom,2011,palembang,sadeli muhammad,komputer
aplikasi jual dan beli integrasi dengan vb dan data report,elex media komputindo,2012,jakarta,saputra agusmaulana sofyansofjan sutikno,komputer
aplikasi jual dengan visual basic,maxicom,2010,palembang,sadeli muhammad,komputer
aplikasi rekayasa konstruksi dengan visual basic,elex media komputindo,2005,jakarta,dewobroto wiryanto,komputer
aplikasi resto cafe dengan visual basic untuk orang awam,maxikom,2010,"hoboken "" "" nj",sadeli muhammad,komputer
aplikasi sms dengan php untuk orang awam,maxikom,2010,palembang,wahidin,komputer
aplikasi web dengan xml guna dreamweaver,andi,2007,yogyakarta,sakur stendy b,komputer
arduino proteus simulasi dan praktik,informatika,2016,bandung,rangkuti syahban,komputer
arduino ajar cepat dan pemrograman,informatika,2017,bandung,andrianto heridarmawan aan,komputer
artificial intelligence a modern approach,pearson education asia,2014,amerika serikat,russell stuartnorvig peter,komputer
artificial intelligence searching reasoning planning learn,informatika,2011,bandung,suyanto,komputer
assembler bahasa rakit,informatika,2012,bandung,syahrul,komputer
asyik kenal java,parama publising,2016,yogyakarta,hastuti a r permatafitri f milla,komputer
audio visu,pustaka bunda,2009,jakarta,dalimartha setiawan,komputer
autocad dimensi untuk mula,politeknik harapan bersama tegal,2013,tegal,nanda p kresna,komputer
autocad dimensi pakai satu metrik,elex media komputindo,2005,jakarta,darmawan djoko,komputer
autocad untuk d,elex media komputindo,2004,jakarta,kwari wkwari m andi,komputer
autocad gambar objek dimensi dan solid dimensi dengan singkat dan sistemati,maxikom,2009,palembang,hamzah amir or,komputer
autocad d,andi,2014,yogyakarta,wahana,komputer
avr atmel object oriented programming using c,pt . gramedia pustaka utama,2013,jakarta,muaris hindah j,komputer
bahasa assembly dalam terap pada microprocessor,phb press,2015,tegal,latifah ulfatul,komputer
basis data revisi tiga,erlangga,2010,jakarta,machmudrukmana,komputer
bedah kilat jam antar dan sistem basisdata,simbiosa rekatama media,2009,bandung,susanto edi,komputer
beginner s guide adobe photoshop cs,diva press,2012,yogyakarta,prasetyono dwi sunar,komputer
ajar bahasa c di gni linux,politeknik harapan bersama tegal,2016,tegal,tiady agung putra eka,komputer
ajar basis data,graha ilmu,2004,yogyakarta,utami emarahardjo suwanto,komputer
ajar cepat lengkap autocad,griya pustaka utama,2021,jakarta,aloysius bagas pradipto irianto,komputer
ajar fotografi dasar dengan kamera saku ponsel,innosain,2016,jakarta,anak agung ngurah gunawan,komputer
ajar rakit komput,informatika,2018,bandung,pratama rifkie,komputer
ajar mikrokontroler atc teori dan aplikasi edisi,elex media komputindo,2016,jakarta,lee christopher,komputer
ajar mikrokontroler ats dengan bahasa c,gava media,2010,yogyakarta,putra agfianto eko,komputer
ajar otodidak autocad d d,mitra wacana media,2019,jakarta,jan horas veryady purba,komputer
ajar otodidak pemrograman web dengan php oracl,informatika,2015,bandung,raharjo budi,komputer
ajar otodidak word excel power point plus internet,informatika,2011,bandung,raharjo budi,komputer
ajar pemrograman c,informatika,2011,bandung,gumawang atang,komputer
ajar pemrograman dengan c dan java,modula,2011,bandung,kusnassriyanto,komputer
ajar sendiri cisco adsl router pix firewall dan vpn,absolut,2011,yogyakarta,prasetyono sunar dwi,komputer
ajar sendiri citrix metaframe presentation serv,elex media komputindo,2006,jakarta,wijaya hendra,komputer
ajar sendiri desain d rumah dengan google sketchup,elex media komputindo,2007,jakarta,wijaya hendra,komputer
ajar sendiri kuasa mysql,elex media komputindo,2018,jakarta,manullang rio,komputer
ajar sendiri pemrograman database dengan ado guna visual basic,andi,2015,yogyakarta,kadir abdul,komputer
ajar sendiri pemrograman excel,elex media komputindo,2004,jakarta,harpiandi,komputer
ajar sendiri pemrograman java d,elex media komputindo,2011,jakarta,wicaksono yudhi,komputer
ajar sendiri pemrograman pascal turbo pascal,elex media komputindo,2003,jakarta,leonardo ian,komputer
ajar sendiri vmware workst,graha ilmu,2002,yogyakarta,hasbi m,komputer
berinternet dengan yahoo,psikologi corner,2019,jakarta,dewi indra,komputer
tualang dengan struktur data di planet pasc,graha ilmu,2019,jakarta,nurhanurawati,komputer
bikin komik dengan adobe illustrator adobe photoshop,politeknik harapan bersama tegal,2020,tegal,susi nurindah saridwi intan af \ ' idah st m komdairoh m sc,komputer
building maintenance pc serv,bumi aksara,2012,jakarta,sutardjo r m edhi,komputer
buku latih teknik digital video editing dengan adobe premiere pro,egc,1994,jakarta,bassett jdenney r c,komputer
buku pandu operator komput,penerbit ilmu,2018,jakarta,ifat fauziah,komputer
buku pintar internet bangun web dinamis di linux dengan bluefish,noura books,2014,jakarta,monika f b,komputer
buku pintar linux administrasi sistem linux redhad,elex media komputindo,2003,jakarta,prasetyo didik dwi,komputer
buku pintar linux bash scripting untuk administrasi sistem linux,andi,2017,yogyakarta,hartini sri,komputer
buku pintar linux bangun aplikasi e govern,pt . gramedia,2002,jakarta,indrajit richardus ekoprastowo bambang nurcahyorudianto dudy,komputer
buku pintar linux perl untuk mula,elex media komputindo,2003,jakarta,yuliardi rofiq,komputer
buku pintar linux security pada open system,elex media komputindo,2002,jakarta,indrajit richardus ekoprastowo bambang nurcahyomutakin harisabdullah,komputer
buku pintar pemrograman arduino tutorial mudah dan praktis buat perangkat elektronik bas arduino,andi,2018,jakarta,rio manullang,komputer
cara cepat buat animasi flash guna swishmax,notebook,2014,yogyakarta,prasetyo budi,komputer
cara mudah bangun website bas cms joomla cd,garailmu,2009,yogyakarta,rushdie,komputer
cara mudah disain microsoft power point,andi,2012,yogyakarta,nugroho nw andi taru,komputer
cara mudah kuasa photoshop cs,d @takom,2010,jakarta,tutang,komputer
cartoon guid,andi,2015,yogyakarta,willsen lea,komputer
ccna cisco certified network associ,politeknik harapan bersama tegal,2018,tegal,much sobri sungkar m kombahrun niam mtsetiandi derikoamin khamdirohim muhamad,komputer
ccna cisco certified network associ,politeknik harapan bersama tegal,2020,tegal,azizi rifki,komputer
cd menit rakit komputer sendiri,elex media komputindo,2005,jakarta,lammle todd,komputer
cema d d modeling anim,mitra wacana media,2020,jakarta,manahan p tampubolon,komputer
cisco ccnp dan jaring komput,informatika,2012,bandung,sofana iwan,komputer
cisco router konfigurasi voice video dan fax,informatika,2017,bandung,sofana iwan,komputer
computer graphic design edisi revisi tiga,pustaka widyatama,2018,yogyakarta,melinda rennahilma r yukepratama raistiwar,komputer
computer networking first step,mcgraw hill,2012,new york,kay donna,komputer
computer vision aplikasi guna c emgucv,andi,2004,yogyakarta,odom wendell,komputer
computer vision dan olah citra,andi,2006,yogyakarta,ariyus dony,komputer
coreldraw x dan photoshop c,politeknik harapan bersama tegal,2021,tegal,rais s pd m komida afriliana st m komnur rizqi istifani,komputer
coreldraw x desain kreatif,bright publisher,2018,jakarta,j maurus,komputer
dari chip ke sistem antar mikroprosesor,psikologi corner,2019,jakarta,salsabila ayu,komputer
dari pascal ke java,salemba medika,2010,jakarta,sulistiyawati arimarmi,komputer
dasar pemrograman c,bumi aksara,2016,jakarta,daryantotyassmadi adi tri,komputer
dasar aplikasi database mysql delphi,erlangga,2012,jakarta,tobing bonggas l,komputer
dasar pemrograman internet untuk proyek bas arduino,andi,2006,yogyakarta,kadir abdul,komputer
dasar pemrograman javascript langkah demi langkah,informatika,2014,bandung,r h sianipar,komputer
dasar pemrosesan citra digital dengan matlab,andi,2004,yogyakarta,kadir abdul,komputer
dasar ancang implementasi database rasion,andi,2008,yogyakarta,kadir abdul,komputer
dasar raspberry pi pandu praktis untuk ajar pemrograman perangkat keras guna raspberry pi model b,andi,2009,yogyakarta,kadir abdul,komputer
dasar teknis olah obyek di corel draw,andi,2017,yogyakarta,kadir abdul,komputer
dasar teknis olah obyek di coreldraw,graha ilmu,2012,yogyakarta,tarigan pernantin,komputer
dasar desain dan implementasi data base processing jilid,universitas indonesia,1994,jakarta,poedjiadi annasupriyanti f m titin,komputer
dasar desain dan implementasi data base processing jilid,diandra kreatif,2019,jakarta,marvin chandra wijaya,komputer
dasar metodologi tel,salemba empat,2006,jakarta,brighamhouston,komputer
dasar microsoft office microsoft windows xp,pt . rajagrafindo persada,2011,jakarta,pratiknya ahmad watik,komputer
dasar pemrograman dengan visual basic,egc,2008,jakarta,hull davidjohnston derek i,komputer
dasar sinyal dan sistem,erlangga,1993,jakarta,krist thomas,komputer
data min,politeknik harapan bersama tegal,2015,tegal,shofan achmad,komputer
data mining olah data jadi informasi guna matlab,andi,2013,yogyakarta,hermawati fajar astuti,komputer
database design all in one theory practice and case studi,politeknik harapan bersama tegal,2014,tegal,fauzan ahmad,komputer
decision suppport systems and intelligent systems sistem dukung putus dan sistem cerdas jilid,informatika,2011,bandung,azikin askari,komputer
desain d arsitektur dan interior rumah dengan home design architectur,politeknik harapan bersama tegal,2016,tegal,hazpina riza,komputer
desain d optimalisasi fitur photoshop cs,politeknik harapan bersama tegal,2013,tegal,arif muhammad,komputer
desain buku dengan adobe indesign,politeknik harapan bersama tegal,2018,tegal,syarifudin stnur aidi ariyanto stnurokhman,komputer
desain digital arsitektur komputer prinsip desain dan aplikasi,gadjah mada university press,2010,yogyakarta,murti bhisma,komputer
desain furniture standar ekspor dengan ds max,politeknik harapan bersama tegal,2016,tegal,susilo randri tri,komputer
desain gedung dan bangun dengan archicad,politeknik harapan bersama tegal,2015,tegal,harnandy prayogi,komputer
desain grafis dengan adobe indesigen cs dan cs,andi,2010,yogyakarta,hernita p,komputer
desain grafis komputer teori grafis komput,elex media komputindo,2006,jakarta,budijanto andreas agus,komputer
desain konverter elektronika daya,politeknik harapan bersama tegal,2015,tegal,putra deni martin dwi,komputer
desain logo dengan illustrator photoshop,politeknik harapan bersama tegal,2016,tegal,purwaningsih tri dewi,komputer
desain mobil dengan ds max,maxikom,2008,palembang,fandi,komputer
desain situs d dengan flash ds max,politeknik harapan bersama tegal,2019,tegal,m khumaidi usman m engsyaefani arif romadhon m pdpratama mohammad rinaldi aji,komputer
desain situs flash untuk orang awam,andi,2006,yogyakarta,robandi imam,komputer
desain web dengan macromedia fireworks,politeknik harapan bersama tegal,2015,tegal,noviandri esha,komputer
desain web elemen keren interaktif,politeknik harapan bersama tegal,2015,tegal,adi s aryanto,komputer
design dan implementasi sistem embedded mikrokontroller atmega dengan bahasa bas,politeknik harapan bersama tegal,2015,tegal,anggraeni novia dewi,komputer
designing information system concepts cases with visio,gava media,2008,yogyakarta,iswanto,komputer
digital greeting card with flash pro,bhuana ilmu populer,2007,jakarta,d \ ' adamo peter j,komputer
digital painting with photoshop,penebar swadaya,2014,jakarta timur,yenrina rinakrisnatuti diahrasjmida dini,komputer
digital photographi,elex media komputindo,2007,jakarta,setevano bayu,komputer
digital signal processing a computer based approach,elex media komputindo,2011,jakarta,gunadi wenart,komputer
e commerce guna php mysql,politeknik harapan bersama tegal,2015,tegal,priyono tri atmo,komputer
efek khusus intro film dengan affter effect,politeknik harapan bersama tegal,2015,tegal,sidiq afif ghozali,komputer
